,Candidate Id,Candidate Name,Candidate Office,Candidate Office State,Candidate Office District,Candidate Party Affiliation,Candidate Incumbent Challenger Open Seat,Net Contribution,Net Operating Expenditure,Winner_binary,Cash on Hand Beginning of Period,Cash on Hand Close of Period,Individual Itemized Contribution,Individual Unitemized Contribution,Individual Contribution,Electorate,rank_netExpenditure,rank_UnItemizedContribution,rank_ItemizedContribution
1368,H4FL18068,"DOMINO, CARL J",H,FL,18.0,REP,OPEN,56083.32,576643.44,0,2406.59,10744.46,46650.0,9078.32,55728.32,FL-18.0,6.0,6.0,12.0
1525,H6FL18105,"KOZELL, RICK",H,FL,18.0,REP,OPEN,578675.46,571563.95,0,0.0,7293.67,570506.79,37953.02,608459.81,FL-18.0,7.0,4.0,4.0
1551,H6FL18139,"NIKPOUR, NOELLE",H,FL,18.0,REP,OPEN,174827.0,180207.88,0,0.0,619.12,216155.0,4672.0,220827.0,FL-18.0,8.0,10.0,8.0
1758,H6FL18071,"MCKINLAY, MELISSA",H,FL,18.0,DEM,OPEN,150064.28,147292.21,0,0.0,2327.07,294413.0,11050.0,305463.0,FL-18.0,9.0,5.0,6.0
1598,H6FL18048,"TAYLOR, PRISCILLA ANN",H,FL,18.0,DEM,OPEN,123689.0,88210.22,0,0.0,27363.78,149690.0,5679.0,155369.0,FL-18.0,10.0,8.0,9.0
1732,H6FL18089,"MOWERY, TOD",H,FL,18.0,REP,OPEN,36500.04,24250.04,0,0.0,0.0,95681.0,2640.5,98321.5,FL-18.0,11.0,13.0,10.0
1430,H6FL18121,"SPALDING, CARLA ARLENE",H,FL,18.0,IND,OPEN,15407.16,22701.64,0,0.0,201.89,11127.5,3872.0,14999.5,FL-18.0,12.0,11.0,13.0
1578,H6FL18162,"ROTH, RICK",H,FL,18.0,REP,OPEN,19302.68,19302.8,0,0.0,-0.12,82046.16,8894.36,90940.52,FL-18.0,13.0,7.0,11.0
29,H6FL19087,"ROONEY, FRANCIS",H,FL,19.0,REP,OPEN,4550062.5,4718541.53,1,0.0,281520.97,830547.5,36711.0,867258.5,FL-19.0,1.0,2.0,1.0
1353,H6FL19095,"BONGINO, DANIEL J",H,FL,19.0,REP,OPEN,415790.75,409606.08,0,0.0,6184.67,154460.21,253030.54,407490.75,FL-19.0,2.0,1.0,3.0
1499,H2FL14152,"GOSS, CHAUNCEY P",H,FL,19.0,REP,OPEN,350553.79,386429.01,0,0.0,0.0,319707.79,29546.0,349253.79,FL-19.0,3.0,3.0,2.0
1410,H4FL14091,"NEELD J, ROBERT M",H,FL,19.0,DEM,OPEN,2630.0,13192.06,0,0.0,1937.94,2250.0,380.0,2630.0,FL-19.0,4.0,4.0,4.0
65,H2FL23021,"HASTINGS, ALCEE L",H,FL,20.0,DEM,INCUMBENT,766146.35,571015.99,1,154456.95,242262.31,406035.0,25210.0,431245.0,FL-20.0,1.0,1.0,1.0
756,H4FL20064,"BONNERQ, JAY ALAN",H,FL,20.0,REP,CHALLENGER,2292.63,6882.83,0,5344.94,2304.74,3202.66,830.29,4032.95,FL-20.0,2.0,2.0,2.0
100,H2FL14053,"FRANKEL, LOIS J.",H,FL,21.0,DEM,INCUMBENT,1579027.91,506462.37,1,72755.81,812227.2,941846.23,101331.06,1043177.29,FL-21.0,1.0,1.0,1.0
1429,H4FL22110,"SPAIN, PAUL DOUGLAS MR.",H,FL,21.0,REP,OPEN,4375.68,20810.96,0,70.42,28281.21,2075.0,2300.68,4375.68,FL-21.0,2.0,2.0,2.0
148,H0FL19080,"DEUTCH, THEODORE ELIOT",H,FL,22.0,DEM,INCUMBENT,1458880.68,1315472.86,1,529966.35,440458.84,1046052.0,31628.68,1077680.68,FL-22.0,1.0,1.0,1.0
1081,H6FL22073,"BENSMIHEN, JOSEPH",H,FL,22.0,REP,CHALLENGER,98208.79,115179.88,0,0.0,0.0,89131.0,5389.0,94520.0,FL-22.0,2.0,2.0,2.0
574,H4FL22086,"MCGEE, ANDREA LEIGH LEIGH",H,FL,22.0,REP,CHALLENGER,20950.29,19289.17,0,-736.23,2295.95,16794.0,4843.19,21637.19,FL-22.0,3.0,3.0,3.0
772,H6FL23063,"CANOVA, TIMOTHY A.",H,FL,23.0,DEM,CHALLENGER,3806006.57,3724634.21,0,0.0,93431.85,1035284.12,2803289.96,3838574.08,FL-23.0,1.0,1.0,2.0
215,H4FL20023,"SCHULTZ, DEBBIE WASSERMAN",H,FL,23.0,DEM,INCUMBENT,3550785.06,3615286.48,1,362511.92,387755.01,1880590.75,879480.03,2760070.78,FL-23.0,2.0,2.0,1.0
538,H2FL20043,"KAUFMAN, JOE",H,FL,23.0,REP,CHALLENGER,116492.56,104716.99,0,378472.91,386494.41,56905.16,59587.4,116492.56,FL-23.0,3.0,3.0,3.0
801,H6FL23071,"FEIGENBAUM, MARTIN",H,FL,23.0,REP,CHALLENGER,30550.0,24081.0,0,0.0,0.76,0.0,0.0,0.0,FL-23.0,4.0,4.5,4.5
396,H6FL23089,"ENDRISS, DONALD",H,FL,23.0,NPA,CHALLENGER,0.0,8459.36,0,0.0,1540.64,0.0,0.0,0.0,FL-23.0,5.0,4.5,4.5
1312,H0FL17068,"WILSON, FREDERICA S.",H,FL,24.0,DEM,INCUMBENT,443018.14,240038.56,1,250482.11,403582.6,91850.0,9502.99,101352.99,FL-24.0,1.0,2.0,1.0
981,H6FL24038,"HILL, RANDAL",H,FL,24.0,DEM,CHALLENGER,106566.33,126566.33,0,0.0,0.0,88617.0,13449.33,102066.33,FL-24.0,2.0,1.0,2.0
289,H2FL25018,"DIAZ-BALART, MARIO",H,FL,25.0,REP,INCUMBENT,1282201.02,1109604.27,1,635365.25,807408.99,399747.65,3213.88,402961.53,FL-25.0,1.0,2.0,1.0
688,H6FL25027,"VALDES, ALINA",H,FL,25.0,DEM,CHALLENGER,23197.16,31413.82,0,0.0,4923.34,6330.23,16119.98,22450.21,FL-25.0,2.0,1.0,2.0
315,H4FL26038,"CURBELO, CARLOS MR.",H,FL,26.0,REP,INCUMBENT,3202701.17,3095134.67,1,10280.5,436296.48,1553723.2,53757.05,1607480.25,FL-26.0,1.0,2.0,1.0
948,H8FL00034,"TADDEO, ANNETTE",H,FL,26.0,DEM,CHALLENGER,1531218.97,1445443.08,0,0.0,206423.59,1007564.49,338850.42,1346414.91,FL-26.0,2.0,1.0,2.0
496,H8FL25015,"GARCIA, JOE",H,FL,26.0,DEM,CHALLENGER,1133757.16,945657.64,0,23473.84,217197.48,859429.82,31219.0,890648.82,FL-26.0,3.0,3.0,3.0
288,H0FL18025,"ROS-LEHTINEN, ILEANA THE HON.",H,FL,27.0,REP,INCUMBENT,1151212.3,2927674.78,1,1944750.85,173630.85,675147.4,27125.54,702272.94,FL-27.0,1.0,1.0,1.0
493,H6FL27031,"FUHRMAN, SCOTT",H,FL,27.0,DEM,CHALLENGER,134796.39,759467.5,0,0.0,25328.89,82590.0,7488.0,90078.0,FL-27.0,2.0,2.0,2.0
995,H6FL27049,"PEIRO, MARIA MAGDALENA",H,FL,27.0,REP,CHALLENGER,1900.0,16305.19,0,0.0,1017.95,1000.0,400.0,1400.0,FL-27.0,3.0,4.0,5.0
908,H6FL27015,"PEREZ, FRANK",H,FL,27.0,DEM,CHALLENGER,11790.0,12553.01,0,0.0,99236.99,9950.0,1840.0,11790.0,FL-27.0,4.0,3.0,3.0
1066,H6FL27023,"SACKRIN, ADAM",H,FL,27.0,DEM,CHALLENGER,9377.51,10455.09,0,0.0,422.42,2918.6,158.91,3077.51,FL-27.0,5.0,5.0,4.0
1256,H4GA01039,"CARTER, EARL LEROY",H,GA,1.0,REP,INCUMBENT,1129014.71,487606.36,1,218955.33,669230.94,484040.0,35337.1,519377.1,GA-1.0,1.0,1.0,1.0
317,H2GA02031,"BISHOP, SANFORD D JR",H,GA,2.0,DEM,INCUMBENT,1068693.82,849080.55,1,144316.29,329823.29,284637.3,8535.21,293172.51,GA-2.0,1.0,1.0,1.0
1070,H6GA02115,"SCOTT, BOBBY L.",H,GA,2.0,REP,CHALLENGER,250.0,53790.34,0,0.0,0.0,250.0,0.0,250.0,GA-2.0,2.0,3.0,3.0
485,H4GA02060,"DUKE, GREGORY PAUL",H,GA,2.0,REP,CHALLENGER,29695.0,34813.29,0,301.78,4448.49,22855.0,6340.0,29195.0,GA-2.0,3.0,2.0,2.0
110,H6GA03113,"FERGUSON, ANDERSON DREW IV",H,GA,3.0,REP,OPEN,1185870.34,1031023.22,1,0.0,127847.12,670939.5,49651.0,720590.5,GA-3.0,1.0,2.0,1.0
1554,H6GA03105,"PACE, JIM",H,GA,3.0,REP,OPEN,276597.01,524812.17,0,0.0,1784.84,196184.92,9789.0,205973.92,GA-3.0,2.0,3.0,3.0
1472,H0GA13032,"CRANE, MICHAEL ROBERT",H,GA,3.0,REP,OPEN,504112.04,489931.94,0,0.0,14480.1,412687.28,63252.77,475940.05,GA-3.0,3.0,1.0,2.0
1655,H6GA03097,"MIX, RICHARD",H,GA,3.0,REP,OPEN,78380.0,60801.47,0,0.0,-28572.23,15000.0,2380.0,17380.0,GA-3.0,4.0,4.0,4.0
1488,H0GA13099,"FLANEGAN, CHARLES EDWARD JR",H,GA,3.0,REP,OPEN,750.0,55005.51,0,199.76,43444.25,700.0,50.0,750.0,GA-3.0,5.0,7.0,6.0
1721,H6GA03121,"ANDERS, SAMUEL",H,GA,3.0,REP,OPEN,1182.25,6469.62,0,0.0,312.63,400.0,370.0,770.0,GA-3.0,6.0,6.0,7.0
1470,H6GA03139,"COOK, TAMARKUS",H,GA,3.0,DEM,OPEN,16640.97,4343.94,0,3000.0,3277.03,6285.97,1035.0,7320.97,GA-3.0,7.0,5.0,5.0
83,H6GA04129,"JOHNSON, HENRY C 'HANK'",H,GA,4.0,DEM,INCUMBENT,451187.53,364509.36,1,15327.54,57868.33,46680.0,10076.69,56756.69,GA-4.0,1.0,1.0,1.0
415,H0GA04106,"ARMENDARIZ, VICTOR",H,GA,4.0,REP,CHALLENGER,6920.0,5448.0,0,0.0,1469.0,700.0,0.0,0.0,GA-4.0,2.0,2.0,2.0
25,H6GA05217,"LEWIS, JOHN R.",H,GA,5.0,DEM,INCUMBENT,980363.33,655566.55,1,184419.65,236216.43,357268.09,54375.24,411643.33,GA-5.0,1.0,1.0,1.0
427,H6GA05290,"BELL, DOUGLAS ANTHONY",H,GA,5.0,REP,CHALLENGER,9913.57,4424.91,0,0.0,146.72,3930.0,2078.0,6008.0,GA-5.0,2.0,2.0,2.0
181,H4GA06087,"PRICE, THOMAS EDMUNDS",H,GA,6.0,REP,INCUMBENT,2162896.21,1161422.01,1,2256395.28,2261845.76,765657.0,134615.68,900272.68,GA-6.0,1.0,1.0,1.0
240,H0GA07133,"WOODALL, ROB REP.",H,GA,7.0,REP,INCUMBENT,588520.26,286006.8,1,50148.46,282161.92,192000.0,8328.0,200328.0,GA-7.0,1.0,1.0,1.0
249,H0GA08099,"SCOTT, JAMES AUSTIN",H,GA,8.0,REP,INCUMBENT,948328.61,712691.41,1,462598.92,455686.12,296491.25,13645.1,310136.35,GA-8.0,1.0,1.0,1.0
1003,H0GA08065,"HICKS, ANGELA",H,GA,8.0,REP,CHALLENGER,46600.0,46599.0,0,0.0,0.0,9875.0,0.0,1250.0,GA-8.0,2.0,2.0,2.0
1260,H2GA09150,"COLLINS, DOUGLAS ALLEN",H,GA,9.0,REP,INCUMBENT,1178372.93,1031087.36,1,290624.47,212716.33,442671.63,47151.3,489822.93,GA-9.0,1.0,1.0,1.0
764,H6GA09243,"BROUN, PAUL",H,GA,9.0,REP,CHALLENGER,93748.73,124958.02,0,0.0,2839.8,74521.24,20155.87,94677.11,GA-9.0,2.0,2.0,2.0
1091,H2GA09176,"FITZPATRICK, ROGER ",H,GA,9.0,REP,CHALLENGER,17965.0,16049.02,0,1980.05,1220.69,10410.0,2335.0,12745.0,GA-9.0,3.0,5.0,3.0
1007,H6GA09235,"SCUPIN, MICHAEL LEE",H,GA,9.0,REP,CHALLENGER,11076.2,10654.99,0,0.0,0.0,5630.0,5196.2,10826.2,GA-9.0,4.0,3.0,5.0
807,H4GA09065,"FONTAINE, BERNARD ARTHUR",H,GA,9.0,REP,CHALLENGER,17491.34,6494.95,0,0.0,0.0,8800.0,2465.0,11265.0,GA-9.0,5.0,4.0,4.0
1278,H0GA07125,"HICE, JODY",H,GA,10.0,REP,INCUMBENT,462582.07,291562.49,1,2442.57,64012.15,267998.5,18404.32,286402.82,GA-10.0,1.0,1.0,1.0
76,H4GA11061,"LOUDERMILK, BARRY",H,GA,11.0,REP,INCUMBENT,788553.85,762685.59,1,92672.67,73908.19,304308.32,26645.53,330953.85,GA-11.0,1.0,1.0,1.0
1114,H6GA11082,"COWAN, DANIEL",H,GA,11.0,REP,CHALLENGER,145184.52,288643.92,0,0.0,105540.6,138806.52,6378.0,145184.52,GA-11.0,2.0,2.0,2.0
869,H2GA11198,"LLOP, WILLIAM",H,GA,11.0,REP,CHALLENGER,1690.0,156209.39,0,3166.67,4307.18,1570.0,120.0,1690.0,GA-11.0,3.0,3.0,3.0
1115,H6GA11074,"DAVIS, BILLY",H,GA,11.0,REP,CHALLENGER,17875.02,69446.45,0,0.0,3428.57,350.0,0.0,350.0,GA-11.0,4.0,4.0,4.0
0,H2GA12121,"ALLEN, RICHARD W",H,GA,12.0,REP,INCUMBENT,1074949.5,907156.21,1,60109.57,175613.35,554305.0,46969.5,601274.5,GA-12.0,1.0,1.0,1.0
1080,H4GA12051,"YU, EUGENE MR.",H,GA,12.0,REP,CHALLENGER,27907.87,55308.3,0,0.0,2.22,23350.0,4657.87,28007.87,GA-12.0,2.0,2.0,2.0
1303,H2GA13012,"SCOTT, DAVID ALBERT",H,GA,13.0,DEM,INCUMBENT,1182718.16,767753.67,1,52858.09,395832.64,172310.2,3051.6,175361.8,GA-13.0,1.0,1.0,1.0
1271,H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",H,GA,14.0,REP,INCUMBENT,1255026.26,642949.07,1,288763.68,919240.46,495022.01,12304.25,507326.26,GA-14.0,1.0,1.0,1.0
954,H6GA14011,"TUCK, MICKEY",H,GA,14.0,REP,CHALLENGER,6337.0,12325.0,0,0.0,305.0,7832.0,0.0,6757.0,GA-14.0,2.0,2.0,2.0
1249,H2GU00033,"BORDALLO, MADELEINE Z. MS.",H,GU,0.0,DEM,INCUMBENT,162992.8,133667.53,0,20832.59,50157.86,109960.0,3875.0,113835.0,GU-0.0,1.0,3.0,1.0
443,H6GU01016,"CAMACHO, FELIX P GOVERNOR",H,GU,0.0,REP,CHALLENGER,77553.0,74664.3,0,0.0,2888.7,60634.0,16719.0,77353.0,GU-0.0,2.0,2.0,2.0
745,H6GU00042,"BABAUTA, ANTHONY M",H,GU,0.0,DEM,CHALLENGER,44927.0,43897.0,0,0.0,1029.0,22303.0,22624.0,44927.0,GU-0.0,3.0,1.0,3.0
997,H4GU00021,"METCALFE, MARGARET",H,GU,0.0,REP,CHALLENGER,9293.49,9342.49,0,2287.0,2238.0,1500.0,0.0,1500.0,GU-0.0,4.0,4.0,4.0
319,H2HI02110,"HANABUSA, COLLEEN WAKAKO",H,HI,1.0,DEM,OPEN,813299.23,398738.91,1,34911.0,444469.26,519728.0,42454.36,562182.36,HI-1.0,1.0,1.0,1.0
251,H2HI02508,"GABBARD, TULSI",H,HI,2.0,DEM,INCUMBENT,2024539.57,926059.16,1,1080800.02,2072989.88,910524.55,685435.13,1595959.68,HI-2.0,1.0,1.0,1.0
777,H6HI02384,"CHAN HODGES, SHAY",H,HI,2.0,DEM,CHALLENGER,16867.54,16636.58,0,0.0,-7122.14,11505.19,5262.35,16767.54,HI-2.0,2.0,2.0,2.0
693,H4IA01077,"VERNON, MONICA W",H,IA,1.0,DEM,CHALLENGER,2386758.58,2378279.16,0,0.0,159009.42,1572443.09,290196.91,1862640.0,IA-1.0,1.0,1.0,1.0
113,H2IA01055,"BLUM, RODNEY",H,IA,1.0,REP,INCUMBENT,1719223.36,1278679.16,1,44558.1,753672.15,826840.73,280772.56,1107613.29,IA-1.0,2.0,2.0,2.0
1181,H6IA01155,"PATEL, RAVI B",H,IA,1.0,DEM,CHALLENGER,217825.42,261174.48,0,0.0,0.0,736302.38,10499.67,746802.05,IA-1.0,3.0,5.0,3.0
1059,H4IA01069,"MURPHY, PATRICK",H,IA,1.0,DEM,CHALLENGER,231375.12,231516.6,0,1334.83,1193.35,115258.92,90397.82,205656.74,IA-1.0,4.0,3.0,4.0
858,H6IA01163,"KROEGER, GARY",H,IA,1.0,DEM,CHALLENGER,78644.63,74269.26,0,0.0,2375.37,46748.48,31896.15,78644.63,IA-1.0,5.0,4.0,5.0
147,H6IA02146,"LOEBSACK, DAVID WAYNE",H,IA,2.0,DEM,INCUMBENT,1542986.54,542597.07,1,33469.28,983608.75,505008.68,131210.41,636219.09,IA-2.0,1.0,1.0,1.0
616,H6IA02161,"PETERS, CHRISTOPHER CARL",H,IA,2.0,REP,CHALLENGER,102030.17,124244.66,0,0.0,82748.3,57011.0,24403.57,81414.57,IA-2.0,2.0,2.0,2.0
593,H4IA04113,"MOWRER, JIM",H,IA,3.0,DEM,CHALLENGER,1711093.07,1696671.82,0,4828.7,16074.95,1216121.77,238394.0,1454515.77,IA-3.0,1.0,1.0,1.0
104,H4IA03115,"YOUNG, DAVID",H,IA,3.0,REP,INCUMBENT,2182922.19,1648502.58,1,29764.21,733925.59,756149.37,107686.95,863836.32,IA-3.0,2.0,2.0,2.0
930,H6IA03243,"SHERZAN, MIKE",H,IA,3.0,DEM,CHALLENGER,84533.08,882133.08,0,0.0,0.0,49838.0,8410.0,58248.0,IA-3.0,3.0,4.0,4.0
738,H6IA03235,"ADAMS, DESMUND DOUGLAS",H,IA,3.0,DEM,CHALLENGER,78417.08,77707.19,0,0.0,549.89,59171.31,16995.77,76167.08,IA-3.0,4.0,3.0,3.0
1136,H4IA03099,"CRAMER, ROBERT JAMES",H,IA,3.0,REP,CHALLENGER,600.0,2876.59,0,466.83,0.0,0.0,0.0,0.0,IA-3.0,5.0,5.0,5.0
55,H2IA05072,"KING, STEVE MR.",H,IA,4.0,REP,INCUMBENT,881554.53,820157.76,1,136070.31,194463.63,395175.1,218929.43,614104.53,IA-4.0,1.0,1.0,1.0
699,H6IA04134,"WEAVER, KIMBERLY",H,IA,4.0,DEM,CHALLENGER,141313.14,101503.47,0,0.0,44346.64,52040.0,73198.14,125238.14,IA-4.0,2.0,2.0,2.0
35,H0ID01253,"LABRADOR, RAUL R. HON.",H,ID,1.0,REP,INCUMBENT,463860.74,755746.58,1,370198.86,19763.02,221841.43,38983.49,260824.92,ID-1.0,1.0,2.0,1.0
621,H6ID01250,"PIOTROWSKI, JAMES M",H,ID,1.0,DEM,CHALLENGER,273277.07,206494.18,0,0.0,66782.89,143905.25,56545.09,200450.34,ID-1.0,2.0,1.0,2.0
102,H8ID02064,"SIMPSON, MICHAEL",H,ID,2.0,REP,INCUMBENT,972963.11,506848.06,1,70310.12,172575.17,241109.61,22506.99,263616.6,ID-2.0,1.0,1.0,1.0
685,H6ID02183,"TOMKINS, ANTHONY DAVID",H,ID,2.0,CON,CHALLENGER,1413.62,1326.32,0,0.0,87.3,147.12,76.5,223.62,ID-2.0,2.0,2.0,2.0
89,H2IL01042,"RUSH, BOBBY LEE",H,IL,1.0,DEM,INCUMBENT,562080.0,539521.61,1,32905.08,28773.54,120450.0,630.0,121080.0,IL-1.0,1.0,4.0,2.0
1131,H6IL01167,"BROOKINS, HOWARD B. JR.",H,IL,1.0,DEM,CHALLENGER,202368.61,197032.64,0,0.0,0.0,182648.61,8270.0,190918.61,IL-1.0,2.0,1.0,1.0
1167,H4IL02269,"BRUTUS, O. PATRICK",H,IL,1.0,DEM,CHALLENGER,7466.0,37648.17,0,0.0,3384.63,2100.0,5366.0,7466.0,IL-1.0,3.0,3.0,3.0
794,H6IL01159,"DEUSER, AUGUST (O'NEILL)",H,IL,1.0,REP,CHALLENGER,20656.0,20150.0,0,0.0,193.0,0.0,6420.0,6420.0,IL-1.0,4.0,2.0,4.0
49,H2IL02172,"KELLY, ROBIN L.",H,IL,2.0,DEM,INCUMBENT,1028625.19,595887.94,1,122066.79,378523.75,345976.56,47820.79,393797.35,IL-2.0,1.0,1.0,1.0
1287,H4IL03077,"LIPINSKI, DANIEL WILLIAM WILLIAM",H,IL,3.0,DEM,INCUMBENT,809719.5,488426.96,1,1047669.95,1297321.53,189171.0,33285.76,222456.76,IL-3.0,1.0,1.0,1.0
1275,H2IL08039,"GUTIERREZ, LUIS V",H,IL,4.0,DEM,INCUMBENT,483335.94,494558.05,1,191563.87,163695.14,164168.11,7049.93,171218.04,IL-4.0,1.0,1.0,1.0
1156,H6IL04146,"SALAS, JAVIER MR",H,IL,4.0,DEM,CHALLENGER,46202.0,44332.02,0,0.0,1869.98,44765.0,3937.0,48702.0,IL-4.0,2.0,2.0,2.0
134,H0IL05096,"QUIGLEY, MIKE",H,IL,5.0,DEM,INCUMBENT,959920.11,495004.5,1,508460.43,726143.77,401065.11,15130.0,416195.11,IL-5.0,1.0,1.0,1.0
546,H6IL05150,"KOLBER, VINCE",H,IL,5.0,REP,CHALLENGER,16464.99,21688.89,0,1508.95,7285.05,13555.0,909.99,14464.99,IL-5.0,2.0,2.0,2.0
1142,H6IL05168,"GRIMSLEY, WARREN GRIZZ",H,IL,5.0,GRE,CHALLENGER,3599.0,3421.0,0,0.0,0.0,1500.0,316.0,0.0,IL-5.0,3.0,3.0,3.0
116,H6IL06117,"ROSKAM, PETER",H,IL,6.0,REP,INCUMBENT,2740881.43,2765597.03,1,457445.62,315953.25,1125319.99,160900.0,1286219.99,IL-6.0,1.0,1.0,1.0
983,H6IL06158,"KINZLER, GORDON (JAY)",H,IL,6.0,REP,CHALLENGER,98091.02,200414.06,0,0.0,276.96,87547.0,9744.02,97291.02,IL-6.0,2.0,3.0,2.0
523,H6IL06166,"HOWLAND, AMANDA",H,IL,6.0,DEM,CHALLENGER,90060.85,44917.24,0,435.0,50528.61,64149.27,18161.58,82310.85,IL-6.0,3.0,2.0,3.0
1052,H0IL08033,"MARSHALL, ROBERT",H,IL,6.0,DEM,CHALLENGER,500.0,6000.0,0,0.0,314.0,500.0,0.0,500.0,IL-6.0,4.0,4.0,4.0
43,H4IL07037,"DAVIS, DANNY K. MR.",H,IL,7.0,DEM,INCUMBENT,505107.32,376136.26,1,255301.9,271505.73,35542.8,17045.0,52587.8,IL-7.0,1.0,2.0,2.0
1092,H6IL07289,"DAY, THOMAS",H,IL,7.0,DEM,CHALLENGER,62346.3,62345.72,0,0.0,0.0,39475.0,17771.3,57246.3,IL-7.0,2.0,1.0,1.0
1117,H2IL01141,"COLLINS, FREDERICK",H,IL,7.0,DEM,CHALLENGER,20000.0,20000.0,0,0.0,0.0,20000.0,0.0,20000.0,IL-7.0,3.0,3.0,3.0
325,H6IL08147,"KRISHNAMOORTHI, S. RAJA",H,IL,8.0,DEM,OPEN,3424050.29,2320735.61,1,0.0,1041849.47,2682837.1,203136.43,2885973.53,IL-8.0,1.0,1.0,1.0
1683,H6IL08162,"NOLAND, MICHAEL",H,IL,8.0,DEM,OPEN,311087.06,302189.74,0,0.0,0.0,191799.84,50164.22,241964.06,IL-8.0,2.0,2.0,3.0
1366,H6IL08170,"DICIANNI, PETER",H,IL,8.0,REP,OPEN,255574.56,155232.15,0,0.0,86067.41,231387.39,29526.17,260913.56,IL-8.0,3.0,3.0,2.0
1474,H6IL08154,"CULLERTON, TOM",H,IL,8.0,DEM,OPEN,123031.07,118178.57,0,0.0,-3252.98,110188.07,6443.0,116631.07,IL-8.0,4.0,5.0,4.0
1715,H6IL08188,"BULLWINKEL, DEBORAH M",H,IL,8.0,DEM,OPEN,84050.0,69124.2,0,0.0,0.0,59430.0,19370.0,78800.0,IL-8.0,5.0,4.0,5.0
1492,H0IL08108,"FRASER, WILLIAM E",H,IL,8.0,IND,OPEN,1314.0,1651.9,0,0.0,177.66,500.0,371.0,871.0,IL-8.0,6.0,6.0,6.0
1762,H6IL04138,"STRAW, ANDREW",H,IL,8.0,REP,OPEN,357.61,357.61,0,0.0,0.0,0.0,5.0,5.0,IL-8.0,7.0,7.0,7.0
125,H8IL09067,"SCHAKOWSKY, JANICE D",H,IL,9.0,DEM,INCUMBENT,1304944.64,884011.59,1,280530.98,412216.4,763648.15,190378.71,954026.86,IL-9.0,1.0,1.0,1.0
551,H6IL09145,"LASONDE, JOAN MCCARTHY",H,IL,9.0,REP,CHALLENGER,175022.6,133265.71,0,0.0,41781.89,145782.68,20883.5,166666.18,IL-9.0,2.0,2.0,2.0
966,H4IL09074,"WILLIAMS, DAVID EARL III",H,IL,9.0,IND,CHALLENGER,90556.66,79232.66,0,4164.02,13423.02,54225.0,2437.0,56662.0,IL-9.0,3.0,3.0,3.0
1265,H0IL10302,"DOLD, ROBERT JAMES JR",H,IL,10.0,REP,INCUMBENT,4877174.23,4216039.83,0,191656.25,1008569.68,2693485.29,125501.38,2818986.67,IL-10.0,1.0,3.0,1.0
381,H2IL10068,"SCHNEIDER, BRADLEY SCOTT",H,IL,10.0,DEM,CHALLENGER,4201335.76,4185389.16,1,2467.29,147958.58,2664425.79,976263.46,3640689.25,IL-10.0,2.0,1.0,2.0
918,H6IL10135,"RODKIN ROTERING, NANCY",H,IL,10.0,DEM,CHALLENGER,1043746.68,1369795.93,0,0.0,1490.75,1022382.36,127016.94,1149399.3,IL-10.0,3.0,2.0,3.0
291,H8IL14067,"FOSTER, G. WILLIAM (BILL)",H,IL,11.0,DEM,INCUMBENT,2764766.19,1035105.68,1,1067770.54,2473001.29,1822173.77,237403.4,2059577.17,IL-11.0,1.0,1.0,1.0
541,H6IL11117,"KHOURI, TONIA",H,IL,11.0,REP,CHALLENGER,505857.25,574765.81,0,0.0,141799.72,340070.0,32327.25,372397.25,IL-11.0,2.0,2.0,2.0
942,H6IL11133,"STELLA, DOMINICK J. M.D.",H,IL,11.0,REP,CHALLENGER,16794.5,187687.36,0,0.0,1076.34,14550.0,2244.5,16794.5,IL-11.0,3.0,4.0,4.0
964,H6IL11141,"WHITE, HERMAN",H,IL,11.0,REP,CHALLENGER,56195.0,76256.85,0,0.0,38.15,51625.0,4570.0,56195.0,IL-11.0,4.0,3.0,3.0
1204,H6IL11125,"TAMS, MICHAEL A",H,IL,11.0,REP,CHALLENGER,5130.81,12291.84,0,0.0,0.0,3200.0,512.0,3712.0,IL-11.0,5.0,5.0,5.0
260,H4IL12060,"BOST, MICHAEL",H,IL,12.0,REP,INCUMBENT,2212196.65,1920322.3,1,27294.05,161669.31,1061194.68,130115.05,1191309.73,IL-12.0,1.0,1.0,1.0
420,H6IL12099,"BARICEVIC, CHARLES JOHN",H,IL,12.0,DEM,CHALLENGER,943095.89,837588.33,0,0.0,98324.7,697238.31,83422.58,780660.89,IL-12.0,2.0,2.0,2.0
1075,H6IL12107,"VOWELL, EDWARD F.",H,IL,12.0,DEM,CHALLENGER,37913.28,42913.28,0,0.0,-5000.0,5450.0,1800.0,7250.0,IL-12.0,3.0,3.0,3.0
436,H2IL12130,"BRADSHAW, PAULA",H,IL,12.0,GRE,CHALLENGER,2508.53,1875.53,0,835.4,1525.4,808.53,450.0,1258.53,IL-12.0,4.0,4.0,4.0
194,H2IL13120,"DAVIS, RODNEY L",H,IL,13.0,UNK,INCUMBENT,2428419.14,1435552.57,1,126337.4,918940.07,596218.77,108655.83,704874.6,IL-13.0,1.0,1.0,1.0
821,H6IL13113,"GILL, DAVID DR.",H,IL,13.0,IND,CHALLENGER,23620.95,23384.13,0,0.0,723.73,17190.01,6175.94,23365.95,IL-13.0,2.0,2.0,2.0
